STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",2018-01-01,0.45,,44,38
USW00025333,"SITKA AIRPORT, AK US",2018-01-02,0.15,,42,37
USW00025333,"SITKA AIRPORT, AK US",2018-01-03,0.90,,41,36
USW00025333,"SITKA AIRPORT, AK US",2018-01-04,0.05,,43,37
USW00025333,"SITKA AIRPORT, AK US",2018-01-05,0.10,,45,38
USW00025333,"SITKA AIRPORT, AK US",2018-01-06,0.35,,40,35
USW00025333,"SITKA AIRPORT, AK US",2018-01-07,0.20,,42,36
USW00025333,"SITKA AIRPORT, AK US",2018-01-08,0.00,,44,37
USW00025333,"SITKA AIRPORT, AK US",2018-01-09,0.05,,46,38
USW00025333,"SITKA AIRPORT, AK US",2018-01-10,0.15,,43,37
USW00025333,"SITKA AIRPORT, AK US",2018-02-01,0.25,,45,38
USW00025333,"SITKA AIRPORT, AK US",2018-02-02,0.10,,47,39
USW00025333,"SITKA AIRPORT, AK US",2018-02-03,0.30,,44,38
USW00025333,"SITKA AIRPORT, AK US",2018-02-04,0.00,,48,40
USW00025333,"SITKA AIRPORT, AK US",2018-02-05,0.05,,46,39
USW00025333,"SITKA AIRPORT, AK US",2018-02-06,0.20,,45,38
USW00025333,"SITKA AIRPORT, AK US",2018-02-07,0.15,,49,40
USW00025333,"SITKA AIRPORT, AK US",2018-02-08,0.00,,47,39
USW00025333,"SITKA AIRPORT, AK US",2018-02-09,0.10,,46,39
USW00025333,"SITKA AIRPORT, AK US",2018-02-10,0.25,,48,40
USW00025333,"SITKA AIRPORT, AK US",2018-03-01,0.05,,50,41
USW00025333,"SITKA AIRPORT, AK US",2018-03-02,0.10,,52,42
USW00025333,"SITKA AIRPORT, AK US",2018-03-03,0.20,,49,41
USW00025333,"SITKA AIRPORT, AK US",2018-03-04,0.00,,53,43
USW00025333,"SITKA AIRPORT, AK US",2018-03-05,0.15,,51,42
USW00025333,"SITKA AIRPORT, AK US",2018-03-06,0.05,,50,41
USW00025333,"SITKA AIRPORT, AK US",2018-03-07,0.10,,54,43
USW00025333,"SITKA AIRPORT, AK US",2018-03-08,0.25,,52,42
USW00025333,"SITKA AIRPORT, AK US",2018-03-09,0.00,,51,42
USW00025333,"SITKA AIRPORT, AK US",2018-03-10,0.15,,53,43
USW00025333,"SITKA AIRPORT, AK US",2018-04-01,0.00,,55,44
USW00025333,"SITKA AIRPORT, AK US",2018-04-02,0.05,,57,45
USW00025333,"SITKA AIRPORT, AK US",2018-04-03,0.10,,54,44
